,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,filename,class_name,class_id,filename_
83,201,876,620,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
132,191,582,103,data\ABD-EL-BASET\output_014_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_014_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
45,201,876,620,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
30,128,1717,864,data\ABD-EL-BASET\output_123_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_123_سورة الكهف  عبد الباسط عبد الصمد.mp3
124,201,876,620,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
70,194,1425,681,data\ABD-EL-BASET\output_097_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_097_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
214,8,21,676,data\ABD-EL-BASET\output_096_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_096_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
33,127,152,1835,data\ABD-EL-BASET\output_262_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_262_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
15,163,1205,1057,data\ABD-EL-BASET\output_151_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_151_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
105,87,577,1611,data\ABD-EL-BASET\output_230_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_230_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
144,142,1346,1335,data\ABD-EL-BASET\output_190_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_190_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
215,201,876,620,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_088_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
128,18,448,745,data\ABD-EL-BASET\output_106_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_106_سورة الكهف  عبد الباسط عبد الصمد.mp3
4,40,1301,994,data\ABD-EL-BASET\output_142_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_142_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
91,112,1417,730,data\ABD-EL-BASET\output_104_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_104_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
200,163,1205,1057,data\ABD-EL-BASET\output_151_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_151_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
73,41,660,227,data\ABD-EL-BASET\output_032_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_032_سورة الكهف  عبد الباسط عبد الصمد.mp3
139,148,1476,582,data\ABD-EL-BASET\output_083_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_083_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
7,110,641,2095,data\ABD-EL-BASET\output_299_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_299_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
193,41,660,227,data\ABD-EL-BASET\output_032_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_032_سورة الكهف  عبد الباسط عبد الصمد.mp3
23,185,1557,1096,data\ABD-EL-BASET\output_156_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_156_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
42,102,1614,220,data\ABD-EL-BASET\output_031_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_031_سورة الكهف  عبد الباسط عبد الصمد.mp3
140,40,1301,994,data\ABD-EL-BASET\output_142_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_142_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
101,90,455,2314,data\ABD-EL-BASET\output_330_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_330_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
102,62,1407,211,data\ABD-EL-BASET\output_030_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_030_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
168,184,178,1090,data\ABD-EL-BASET\output_155_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_155_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
33,127,152,1835,data\ABD-EL-BASET\output_262_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_262_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
182,30,299,2226,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
75,195,1562,2357,data\ABD-EL-BASET\output_336_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_336_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
164,134,1033,2291,data\ABD-EL-BASET\output_327_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_327_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
14,54,649,1926,data\ABD-EL-BASET\output_275_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_275_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
191,30,299,2226,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
97,219,870,789,data\ABD-EL-BASET\output_112_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_112_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
209,160,975,324,data\ABD-EL-BASET\output_046_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_046_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
109,29,435,248,data\ABD-EL-BASET\output_035_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_035_سورة الكهف  عبد الباسط عبد الصمد.mp3
170,108,236,354,data\ABD-EL-BASET\output_050_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_050_سورة يس  راحة نفسية لا توصف لعلاج الأرق والنوم بهدوء وراحة وسكينة للشيخ عبد الباسط عبد الصمد.mp3
55,150,416,2229,data\ABD-EL-BASET\output_318_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_318_سورة الكهف  عبد الباسط عبد الصمد.mp3
117,61,1484,1995,data\ABD-EL-BASET\output_285_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_285_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
95,30,299,2226,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
192,62,1407,211,data\ABD-EL-BASET\output_030_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_030_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
135,193,1183,1909,data\ABD-EL-BASET\output_272_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_272_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
138,94,1696,736,data\ABD-EL-BASET\output_105_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_105_رقية المنزل سورة البقرة + يس + الصافات + الملك + الواقعة +الرحمن (سور الرزق) بصوت عبدالباسط عبدالصمد.mp3
191,30,299,2226,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_318_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
184,55,1572,1491,data\ABD-EL-BASET\output_213_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_213_الرقية الشرعية كاملة لعلاج السحر والمس والعين والحسد و فك الكرب والهم والبيت لشيخ عبدالباسط عبدالصمد.mp3
142,135,1735,1426,data\ABD-EL-BASET\output_203_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_203_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
0,131,1236,2138,data\ABD-EL-BASET\output_305_سورة الكهف  عبد الباسط عبد الصمد.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_305_سورة الكهف  عبد الباسط عبد الصمد.mp3
36,2,734,415,data\ABD-EL-BASET\output_059_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_059_سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
46,0,527,433,data\ABD-EL-BASET\output_061_قرآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_061_قرآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
127,118,982,2329,data\ABD-EL-BASET\output_332_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_332_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
144,142,1346,1335,data\ABD-EL-BASET\output_190_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3,ABD-EL-BASET,0,data\ABD-EL-BASET\output_190_ق..رآن الصباح  سورة البقرة كاملة بصوت الشيخ عبد الباسط عبد الصمد Surah Al Baqarah.mp3
